 -10 5485.93210 
 -9 4959.73518 
 -9 4458.50072 
 -9 4031.88266 
 -9 3628.62822 
 -8 3270.75320 
 -8 2910.69756 
 -8 2601.79973 
 -8 2309.02310 
 -8 2045.90769 
 -7 1793.08260 
 -7 1594.46799 
 -7 1370.15177 
 -7 1196.15855 
 -7 1036.07754 
 -6  877.74209 
 -6  744.08070 
 -6  636.61931 
 -6  535.41374 
 -6  432.93961 
 -5  354.68887 
 -5  296.51605 
 -5  221.34916 
 -5  173.03412 
 -5  136.74691 
 -4   88.69361 
 -4   50.48568 
 -4   32.90836 
 -4   13.60593 
 -4   13.98850 
 -3   -6.25435 
 -3    2.49764 
 -3  -18.01091 
 -3  -19.30634 
 -3  -16.64206 
 -2  -28.93472 
 -2    1.22477 
 -2  -32.06381 
 -2  -18.92465 
 -2  -25.14517 
 -1    6.50341 
 -1    6.08986 
 -1    0.01100 
 -1   -3.78392 
 -1    1.89677 
 0   11.53442 
 0   -1.14885 
 0    2.45409 
 0  -13.39842 
 0  -13.10577 
 0   -2.20532 
 0   26.66595 
 0   10.05294 
 0   23.07499 
 0   24.66817 
 1    8.64984 
 1   50.25440 
 1   38.70365 
 1   55.89912 
 1   99.44765 
 2  101.74806 
 2  133.17775 
 2  179.44877 
 2  217.08911 
 2  246.51235 
 3  333.47496 
 3  394.45181 
 3  458.96505 
 3  573.44263 
 3  650.44196 
 4  765.28406 
 4  892.40835 
 4 1039.23344 
 4 1180.17209 
 4 1351.30500 
 5 1533.89551 
 5 1757.91930 
 5 1989.75399 
 5 2256.45020 
 5 2539.95863 
 6 2831.87960 
 6 3165.68495 
 6 3516.59018 
 6 3927.28083 
 6 4335.82819 
 7 4790.15331 
 7 5269.30598 
 7 5790.32003 
 7 6335.19838 
 7 6963.38508 
 8 7578.79495 
 8 8272.73734 
 8 9013.72259 
 8 9785.39752 
 8 10604.78235 
 9 11498.90015 
 9 12430.50804 
 9 13406.69740 
 9 14443.93410 
 10 15558.36567 
